id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
26687,786,MechWarrior 4: Vengeance,"The FedCom Civil War engulfs Kentares IV after William Dresari, a nephew of famed Clan War hero Duke Eric Dresari, betrays the family, launching a surprise attack by Steiner forces on the Dresari royal palace. William seizes the throne for himself under the banner of Katherine ""Katrina"" Steiner-Davion's Lyran Alliance and became responsible for the annihilation of loyalists to Victor Steiner-Davion. The betrayal leaves Eric Dresari and the majority of the royal family dead.

Upon hearing of the coup, Eric's son, Ian Dresari, returns home and meets up with his uncle, Sir Peter Dresari, on the moon orbiting Kentares to launch a guerrilla campaign to take back Kentares IV from the Steiner loyalists. Ian fights alongside with fellow Resistance MechWarriors Casey Nolan, Jen McQuarrie, and Jules Gonzales, and their commander Elise Rathburn in various missions. The Resistance abandons its base on the moon and sets up camp for the first time in Kentares' arctic regions. At one point during this campaign, Ian's uncle Peter is murdered by Duncan Burke, a high-ranking officer in Katrina's forces. Ian and the rest of the Resistance are devastated by the loss of his uncle and debate over whether or not to continue the fight for Kentares' freedom. They decide to push forward and manage to capture a satellite network from House Steiner. The rebel group moves into the mountains.

After destroying a disabled, but heavily guarded Steiner DropShip, Ian and the resistance move to the Hadra Peninsula, a remote desert region. Rumors of an abandoned prison camp reached the resistance and efforts are made to locate and liberate the camp in order to enlist more personnel for the Resistance cause. Along the way, Ian is shocked to find that one member of his family survived Steiner's siege of the Dresari palace: his sister Joanna. After a short reunion, Ian and Joanna are separated once more as the Resistance plans to mobilize their forces to take the fight to Steiner. While in Hadra, Ian kills James Kulin, who was tasked with suppressing the civilian population of Kentares and personally gave the orders to execute Ian and Joanna's family. They make a brief detour to save a coastal town named Vale after Steiner threatened to bomb the town due to allegations of links to the Resistance. Not only does the Resistance save the population, but Ian manages to personally defeat his uncle's murderer, Duncan Burke, in a heated duel.

Pushing forward into urban environments, the fighting heats up and the Resistance's casualties mount. Joanna informs Ian of an old armory cache hidden somewhere in the city full of equipment enough to outfit four heavy lances of 'Mechs - valuable for assaulting the Dresari palace, now the headquarters for the Steiner occupation. Before the search for the cache could be conducted however, Joanna and her lance are ambushed by Steiner forces, leaving her badly injured and in mortal danger. Ian has to make a choice, between rescuing his sister from certain death or securing the weapons cache for an assault on the Dresari palace. Whatever the player chooses, Ian and the Resistance fight one last battle against House Steiner, finally putting an end to the war. However, the fight is not yet over for Ian, as William shows up in a modified Daishi, challenging Ian to a duel. Ian defeats William and finally frees the planet from Steiner's grasp.

Depending what choice the player makes during the second-to-last mission, either Joanna or Ian will ascend the throne as Duchess or Duke, respectively.",2000-11-22 00:00:00.000,2,NULL,NULL,NULL,70.4460,10
26820,44861,Slap Happy Rhythm Busters,NULL,2000-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27212,45832,The Ring: Terror's Realm,NULL,2000-02-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27244,43257,Pool Master,NULL,2000-11-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27502,43789,Sports Superbike,NULL,2000-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27557,39563,Tattoo Assassins,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,21.2776,5
28037,3085,Rune,NULL,2000-11-18 00:00:00.000,13,NULL,70.0000,1,79.6764,32
28167,80496,Jarrett and Labonte Stock Car Racing,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
28300,19269,Grudge warriors,NULL,2000-04-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28339,34,Giants: Citizen Kabuto,NULL,2000-12-06 00:00:00.000,16,NULL,NULL,NULL,82.8355,27
28439,44883,Hokuto no Ken: Seikimatsu Kyuuseishu Densetsu,NULL,2000-11-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28505,44843,NHL Rock the Rink,NULL,2000-03-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28809,43375,Walt Disney's The Jungle Book Rhythm N' Groove,NULL,2000-11-01 00:00:00.000,NULL,NULL,39.0000,1,NULL,NULL
28831,37458,Robot Works,NULL,2000-09-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28891,93534,Black/Matrix +,NULL,2000-02-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28893,59941,Disney's Buzz Lightyear 2nd Grade,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29341,877,Star Trek: Voyager – Elite Force,NULL,2000-09-20 00:00:00.000,6,NULL,80.0000,1,75.1020,25
29361,76766,WWF Royal Rumble,NULL,2000-01-10 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
29552,52371,Air Offensive: The Art of Flying,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29613,148374,Kids Station: Asobou! Hanasou! Guru-guru Town Hanamaru-kun,NULL,2000-05-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29825,122535,Field & Stream - Trophy Hunting 4,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
29904,55037,Street Fighter EX3,NULL,2000-03-04 00:00:00.000,1,NULL,NULL,NULL,68.1794,11
30012,11230,StarLancer,"It is the year 2160. Mankind has colonized the solar system and two political entities have emerged: the Alliance consisting of American, Australian, French, Spanish, Italian, Japanese, British and German forces, and The Coalition of Russian, Chinese and Middle-Eastern interests. The game begins with a surprise attack on Fort Kennedy, where a peace treaty turns into a bloodbath: all of the inner four planets are overrun, including Terra herself, and the Italian and French fleets are utterly lost. The Alliance fleet regroups at Triton, Neptune's moon, and attempts to regain lost territory. The player takes the role of a rookie pilot in the international 45th Volunteers squadron, under the command of Captain Robert Foster and Wing Commander Maria Enriquez, aboard the re-commissioned British carrier ANS Reliant.

As with Wing Commander: Prophecy, the pilot's flying ability is the only meter by which success and failure is measured, though Starlancer does not feature as many branching mission paths. As in Wing Commander I the pilot may be promoted throughout the course of the campaign; unlike WCI, their rank determines which fighters and missiles they may choose to employ during each mission. The game provides a ""virtual carrier"" through which to navigate, including nearby crewmembers whose reaction to you depends on your current rank and standing. However, the true gem of the game lies in its textual and video news broadcasts, which keep the player informed as to the status of the rest of the war, which seems to be progressing just over the horizon. Players frequently find themselves flying alongside squadrons and pilots they have heard about on the news just recently, providing a dose of 'celebrity exposure' and also increasing the sensation that they are just one part of a much larger war effort.

Starlancer's story is continued in Chris Roberts' Freelancer project, though the two belong to different subgenres (the first is purely focused on action, the latter also features trading and the player can freely move through the game's universe when they are not on a mission.)",2000-03-31 00:00:00.000,2,NULL,70.0000,1,85.7503,9
30170,76591,Tenshi no Present: Marl Oukoku Monogatari,NULL,2000-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
